,Country,Social TF Programs,Wealth-ranking,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
221,Lebanon,0,3,2009,5.205998898,9.830089569,0.736411929,65.33999634,0.664733827,0.069068171,0.937024593,0.471758723,0.401288748,0.371836841,Middle East,9.2,10.7,69.5575,1.53,81,75,27,76,81,0.03,8687,4.81,4.7,4.7,7.9,0,1,78.2
406,United States,2,1,2009,7.158032417,10.88555431,0.911793768,66.72000122,0.830683827,0.198148772,0.665393829,0.75276643,0.2616615,0.503047287,North America,6.4,7.5,107.0105,8.67,92,86,28.4,93,95,0.13,51996,306.77,0.7,0.6,13.2,1,0,78.4
222,Lebanon,0,3,2010,5.031899452,9.878139496,0.721424758,65.40000153,0.67763871,0.071231559,0.949062884,0.457453609,0.341205537,,Middle East,8.7,10.2,67.7015,1.37,81,73,27.1,77,81,0.03,9115,4.95,4.7,4.7,7.9,0,1,78.4
407,United States,2,1,2010,7.16361618,10.90257263,0.926158726,66.69999695,0.828044355,0.241412714,0.689582586,0.776060641,0.231052637,0.418275833,North America,6.2,7.3,104.5215,8.56,92,86,28.5,93,95,0.13,52963,309.33,0.7,0.6,13.2,1,0,78.5
223,Lebanon,0,3,2011,5.187571526,9.837735176,0.732914627,65.45999908,0.657106042,0.004141064,0.910560846,0.506424606,0.320167035,,Middle East,8.3,9.7,65.846,1.3,81,70,27.2,79,81,0.03,8754,5.2,4.7,4.7,8,0,1,78.5
106,Denmark,1,1,2009,7.683358669,10.82205677,0.93889159,69.18000031,0.949335575,0.261128634,0.205769762,0.781798959,0.233584777,0.626578152,European Union,3.6,4.2,85.8135,10.08,88,85,25.3,89,89,0.04,50457,5.52,1.1,0.9,12.7,1,0,78.6
408,United States,2,1,2011,7.115138531,10.91069412,0.921705008,66.68000031,0.863202393,0.158172861,0.696925759,0.736950576,0.273378521,0.382531583,North America,6.1,7.2,105.032,8.66,91,86,28.6,94,96,0.13,53395,311.58,0.7,0.6,13.3,1,0,78.6
76,Chile,1,2,2009,6.493686199,9.918290138,0.831581831,68.31999969,0.746614039,0.145071879,0.734211445,0.755948484,0.299891174,0.575284302,South America,7.5,8.8,96.76,7.67,94,89,27.3,94,94,0.17,11200,16.89,0.8,0.9,9.9,0,1,78.6
91,Costa Rica,1,2,2009,7.614928722,9.691177368,0.899781644,69.04000092,0.886061072,0.060058363,0.786559105,0.839989483,0.217024222,0.521350086,Central America and Caribbean,9.3,10.7,92.9325,4.14,87,84,26.7,80,86,0.17,9838,4.52,1.9,1.8,8.4,0,1,78.6
224,Lebanon,0,3,2012,4.572566986,9.800305367,0.712611496,65.51999664,0.620627165,-0.007385006,0.855777562,0.442211181,0.338856846,,Middle East,8,9.3,63.99,1.24,81,68,27.3,80,81,0.04,8434,5.54,4.8,4.8,8.1,0,1,78.6
409,United States,2,1,2012,7.026226997,10.92560387,0.903192282,66.66000366,0.822662294,0.212177798,0.71003443,0.76451987,0.259643853,0.348855615,North America,6,7.1,104.536,8.85,90,86,28.6,93,94,0.13,54213,313.88,0.7,0.6,13.3,1,0,78.7
